code	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
USA	US	9	378	2575	23047	98988	196489	222727	199396	207038	192697	176921	157148	154998	147383	145959	148244	181868	257899	333953	405216	464133	464320	442263	377095	361021	304165	291234	290421	241032	283931	309331	302780	341395	390550	483351	565815	806760	1035932	1205468	1156103	1363758	1512076	1521755	1332900	1454084	1718098	1565751	1236381	1062338	846725	663352	472852	479817	426542	378557	385636	433662
UZB	Uzbekistan	0	0	0	43	61	162	501	723	372	256	231	389	377	431	548	872	1187	1529	2026	2805	3673	3766	4831	4869	4876	4004	2535	2226	3428	4271	3827	3419	2538	2033	2114	2009	1435	1620	1444	1287	1033	1060	995	860	516	348	438	349	394	334	336	251	204	289	356	858	807
VAT	Holy See	0	1	0	0	5	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCT	Saint Vincent and the Grenadines	0	0	1	0	0	6	5	0	2	2	1	0	1	8	0	1	2	0	0	0	9	14	2	2	1	1	2	1	3	0	0	0	0	3	6	1	2	2	6	1	2	7	6	9	13	103	225	270	176	306	216	80	58	89	35	16	27
VEN	Venezuela	0	0	2	68	49	36	20	52	96	22	57	102	506	449	857	588	885	1341	1620	2428	2305	3446	4514	5518	7646	6350	5989	7219	7465	6319	5991	5706	4807	3836	2853	2871	2685	2235	2502	2325	2417	3000	2604	2170	2132	2089	3134	3939	3078	3320	3100	2860	3136	3146	3494	4927	5357
VGB	British Virgin Islands	0	0	0	0	2	1	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	12	14	28	3	3	2	0	0	0	0	0	0	0	0	0	1	4	10	0	0	28	0	0	0	0	0	0	39	0	0	0	0
VNM	Vietnam	0	2	35	41	80	66	18	10	2	0	18	30	7	3	1	5	15	6	0	15	12	35	173	222	139	63	26	9	11	8	1	27	11	19	34	20	33	52	41	35	24	30	16	29	42	31	24	11	219	218	210	173	64	69	52	19	14
VUT	Vanuatu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
WLF	Wallis and Futuna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	4	0	0	0	167	126	65
WSM	Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YEM	Yemen	0	0	0	0	0	0	1	0	0	9	24	88	90	98	172	223	217	181	145	141	192	93	56	67	62	49	39	37	26	17	4	11	10	4	5	3	0	5	1	5	3	6	4	5	9	3	8	6	2	7	9	21	112	175	327	507	691
ZAF	South Africa	0	1	37	202	947	398	443	1006	1327	1975	3084	4935	6988	9624	15006	19763	26945	39119	56177	76207	86695	83321	69090	49898	30465	23392	15506	14333	11330	11442	9842	10218	11180	11235	12115	11206	10454	13276	16227	19730	25310	42516	59512	82434	93978	125287	111483	79180	44397	24464	16363	12304	9858	7981	8208	8387	7665
ZMB	Zambia	0	0	0	2	26	11	1	17	27	35	133	427	241	137	32	268	73	101	101	263	1085	1348	1900	1675	1283	1645	1071	807	757	604	542	362	441	374	328	315	476	189	297	195	309	319	403	1051	1559	5337	9507	8518	8760	8075	7027	5440	4308	3809	2463	1799	1310
ZWE	Zimbabwe	0	0	0	3	4	2	5	11	6	9	1	7	14	118	105	77	123	88	131	284	496	956	1225	916	601	717	513	431	671	164	131	82	125	100	159	98	131	288	386	650	795	602	932	812	1528	6008	6382	4126	2266	1214	617	664	290	202	211	191	156
