code	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
MYS	Malaysia	3	68	145	945	1137	1163	1047	775	437	434	413	283	313	577	541	142	111	60	42	46	60	120	101	85	105	82	60	74	477	299	602	1319	3008	4531	6115	5806	7809	6852	7470	9497	8183	10887	9723	11931	13473	16186	21536	25360	29206	29060	23084	18467	18043	13462	10632	9304	8929
MYT	Mayotte	0	0	0	7	56	71	62	58	126	159	449	324	209	178	380	203	122	104	153	50	71	80	100	106	51	118	64	73	0	167	0	238	210	41	246	90	184	371	115	145	0	370	157	59	123	342	379	639	981	2524	1947	2663	1496	1279	502	364	300
NAM	Namibia	0	0	2	1	5	6	2	0	0	0	0	0	4	3	6	3	14	90	239	293	535	484	537	578	1105	1631	1578	1398	1090	688	626	654	319	372	316	356	235	279	362	474	665	1319	2168	2961	3256	3069	2475	2015	1619	1012	953	1498	1347	1235	1148	1178	1296
NCL	New Caledonia	0	0	0	4	11	3	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	0	0	1	1	1	2	0	3	1	1	1	0	2	4	0	3	2	3	3	3	0	33	25	5
NER	Niger	0	0	0	1	9	134	347	148	45	52	79	74	54	13	14	10	55	27	20	17	5	20	16	21	8	7	3	2	1	5	11	6	1	8	6	5	22	59	50	133	305	410	413	445	380	382	313	189	195	82	92	43	7	0	117	61	54
NGA	Nigeria	1	0	1	20	67	125	104	224	640	1206	1763	1470	1905	2329	2378	3449	4126	4269	4090	3820	4120	3870	3560	2603	2630	3135	1822	1178	1272	968	1053	1089	816	1204	623	923	937	1206	1232	1102	1607	3820	5176	5643	5587	9900	9880	11659	9955	8685	6422	5889	3864	2820	2300	1114	838
NIC	Nicaragua	0	0	0	2	2	1	3	1	3	2	2	9	254	480	359	346	359	347	349	327	301	292	233	230	213	196	183	174	150	143	112	97	94	89	81	80	77	70	64	59	54	49	51	53	55	51	55	52	49	46	48	51	47	44	48	45	47
NLD	Netherlands	6	182	772	2675	6138	6888	7816	7190	5612	3049	2146	1489	1195	1195	1080	1306	863	572	475	375	664	1166	2035	3306	4633	3676	3634	4323	7229	11075	16836	23395	36562	51958	61153	70305	53390	38324	37250	34707	37950	53816	73505	77522	60083	52713	40877	37198	30901	27149	24115	26205	32124	31606	35942	44169	51952
NOR	Norway	15	132	943	1028	1897	1535	859	627	463	310	290	138	109	91	94	97	114	104	80	51	51	83	142	346	366	334	312	685	783	779	769	735	1104	903	1380	2582	3912	4191	3918	3194	2527	2730	2779	3096	3588	4653	3526	2358	1990	1860	1739	1923	2511	3720	5254	6562	6107
NPL	Nepal	0	0	0	0	4	4	0	22	18	10	51	182	293	817	1834	2100	3270	3704	3182	1228	783	981	1603	2506	3427	5098	6223	7937	7843	9677	9024	12749	21114	23620	25929	15510	20893	16663	10340	12084	9162	7708	5591	4516	3738	3083	2535	2124	1674	952	808	737	714	590	523	651	921
