code	population	region	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
ABW	106766	Caribbean	Aruba	0.0	0.0	1.8732555307869547	2.809883296180432	38.40173838113257	16.85929977708259	26.225577431017363	3.7465110615739095	3.7465110615739095	0.0	0.9366277653934774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7465110615739095	0.0	5.619766592360864	7.493022123147819	1.8732555307869547	363.4115729726692	504.8423655470843	455.20109398123	413.0528445385235	424.29237772324524	530.1313152127082	436.46853867336046	348.42552872637356	226.66391922522152	106.77556525485642	108.64882078564337	99.2825431317086	96.47265983552816	71.18371016990427	64.62731581214993	61.8174325159695	102.09242642788902	116.14184290879119	81.48661558923253	103.96568195867599	123.634865031939	229.47380252140195	450.5179551542626	367.15808403424313	283.79821291422365	221.04415263286066	241.64996347151714	185.4522975479085	231.3470580521889	214.4877582751063	199.50171402881068	268.812168667928	332.50285671468447	452.39121068504954
AFG	38928341	Southern Asia	Afghanistan	0.0025688225449936332	0.0077064676349809	0.028257047994929965	0.0385323381749045	0.19779933596450977	0.49578275118377124	0.6576185715183701	0.9710149220075934	1.3614759488466257	2.584235480263595	4.038189040729992	6.0649900287299685	9.242623516887093	11.629059661186178	12.910902111138	11.69328022481102	11.102451039462483	5.594895502996133	5.28149915250691	4.351585391219214	2.3710232090291234	1.918910441110244	1.731386395325709	0.8888126005677971	1.274135982316842	1.0326666630874406	0.4855074610037967	0.490645106093784	0.8143167467629817	0.71413266750823	0.7012885547832619	0.2697263672243315	1.0429419532674151	1.1251442747072113	1.6106517357110082	1.687716412060817	1.561844107356129	2.5739601900836204	3.7710314960506537	3.4447910328364624	3.1545140852521816	2.9721276845576337	3.7299303353307556	3.095431166717328	1.6440464287959253	4.813973449318069	1.3820265292065748	1.5952388004410463	1.1534013227021414	0.8271608594879499	0.3673416239340896	0.2748640123143188	0.3262404632141914	0.3416533984841532	0.30568988285424237	0.34422222102914685	0.5060580413637458
AGO	32866268	Middle Africa	Angola	0.0	0.0	0.0	0.006085266510940639	0.009127899766410959	0.0152131662773516	0.02738369929923288	0.0152131662773516	0.0030426332554703197	0.0304263325547032	0.024341066043762558	0.0152131662773516	0.03955423232111416	0.06998056487581736	0.012170533021881279	0.152131662773516	0.11562006370787216	0.25253856020403653	0.26470909322591785	0.3529454576345571	0.6845924824808219	0.6967630155027033	0.7545730473566393	1.2413943682318904	0.9340884094293882	0.7758714801449316	1.2687780675311233	1.1683711701006028	1.217053302188128	1.722130422596201	2.3458702399676166	2.1237580123182833	2.6653467317920003	3.699842038651909	4.7586784115555805	5.412844561481699	4.65522888086959	3.1612959524336626	3.1612959524336626	2.0507348141869954	1.3661423317061736	1.9016457846689498	1.4148244637936989	1.5912971926109774	1.3965686642608768	1.6673630239977353	1.8529636525814248	1.8316652197931327	1.2626928010201828	0.8519373115316896	0.8123830792105754	0.5172476534299544	0.8610652112981005	0.8306388787433974	0.8154257124660458	1.1349022042904293	1.0192821405825572
AIA	15002	Caribbean	Anguilla	0.0	0.0	0.0	0.0	13.331555792560993	6.665777896280496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.665777896280496	19.997333688841486	19.997333688841486	0.0	13.331555792560993	6.665777896280496	13.331555792560993	0.0	0.0	6.665777896280496	6.665777896280496	6.665777896280496	0.0	0.0	0.0	19.997333688841486	6.665777896280496	0.0
ALB	2877800	Southern Europe	Albania	0.0	0.0	1.320453123914101	1.320453123914101	4.204600736673848	4.72583223295573	3.4748766418792134	3.9961081381610954	5.69879769268191	2.675655014246994	2.328167350059073	2.675655014246994	1.9459309194523595	4.621585933699354	3.8223643060671346	8.061713809159775	14.83772326082424	15.254708457849746	16.99214677878935	19.18131906317326	22.13496420877059	21.85697407742025	26.37431371186323	30.544165682118283	34.22753492251025	35.269997915074015	34.887761484467305	28.598234762665925	37.63291403155188	36.17346584196261	32.212106470220306	33.49781082771562	38.710125790534434	53.61734658419626	72.41642921676281	70.08826186670373	98.33900896518173	122.59364792549864	172.45812773646534	159.63583292793106	186.18389047188825	194.38459934672318	166.79407881020225	111.64778650357913	112.44700813121135	140.4545138647578	145.3540899298075	146.81353811939675	201.8903328931823	241.88616304121203	270.17165890610886	245.84752241295433	248.55792619362012	203.73201751337828	164.81339912433108	129.26541107790675	107.72117589825561
AND	77265	Southern Europe	Andorra	0.0	1.2942470717660002	0.0	112.59949524364201	284.73435578852	204.49103733902803	174.72335468841	133.30744839189802	44.004400440044	11.648223645894001	9.059729502362002	9.059729502362002	1.2942470717660002	2.5884941435320004	113.893742315408	1.2942470717660002	2.5884941435320004	0.0	0.0	0.0	32.35617679415	22.002200220022	36.23891800944801	38.82741215298	44.004400440044	72.47783601889601	102.24551866951401	117.77648353070602	166.95787225781402	284.73435578852	352.035203520352	354.62369766388406	758.4287840548761	881.382255872646	855.497314437326	929.2693975279881	728.661101404258	525.464311136996	623.827088591212	521.581569921698	511.22759334757006	366.271921309778	352.035203520352	318.38477965443604	465.92894583576003	543.58377014172	584.9996764382321	596.647900084126	499.57936970167606	415.453310036886	332.62149744386204	270.497637999094	229.08173170258203	220.02200220022002	270.497637999094	327.444509156798	424.51303953924804
ARE	9890400	Western Asia	United Arab Emirates	0.0808865162177465	0.2426595486532395	0.40443258108873253	0.6875353878508452	3.1849065760737685	10.484914664725391	22.557227210224056	25.94435007684219	35.4990698050635	38.27954380004853	38.60308986491952	52.67734368680741	61.44341988190568	52.49534902531748	44.204481112998465	37.63245167030656	25.711801342716168	28.58327266844617	35.35751840168244	36.35848903987705	22.83021920245895	18.715117689881097	22.22357033082585	15.570654371916202	18.2196877780474	25.428698535954055	27.410418183288847	41.88910458626547	54.37596052738009	54.52762274528836	64.46655342554396	72.2114373533932	74.54703550918062	93.56547763487826	94.80910782172612	89.63237078379034	84.96117447221548	81.92793011404999	87.4585456604384	88.13597023376204	88.71228666181348	85.72959637628408	87.44843484591118	85.82059370702903	108.68114535306964	162.38979212165333	223.50966593868802	248.4024913046995	265.76275984793335	229.93003316347165	224.49041494782819	228.2010838793173	206.45272183127074	198.5966189436221	163.4817600905929	143.90722316589824	145.90916444228748
ARG	45195777	South America	Argentina	0.0	0.017700768812980026	0.057527498642185086	0.2743619166011904	1.1771011260631719	1.683785633334725	1.1594003572501919	1.7324627475704202	2.2612732158581985	1.9935490875618755	2.4227927312766413	4.489357490192059	7.850290968556642	10.755429649986988	12.846332966020254	18.309232740926216	24.13721087259989	36.5963395208362	39.01249446380798	48.971389517210866	55.34809148208692	79.23306639910184	84.54108444689423	100.15980032824748	104.63145704962656	105.54525923959666	142.57305500024924	156.1362691031952	165.22561388866043	169.15960975734524	176.01201988407016	195.44746404072222	205.91304360139665	210.72101493022234	226.16493571954743	189.3716751456668	154.7202075981568	150.4454719298221	135.71179448911786	104.4190478238708	102.79057709307664	76.93196645341445	94.1835782577651	90.93327458448164	125.15992368048015	176.0673347866107	171.6310796028576	155.35301008322082	132.915073016667	120.42054283080475	99.26591150319199	86.45055488259445	96.40723733989572	94.07294845268397	100.25494196061724	109.99700259606114	131.98135746178232
ARM	2963234	Western Asia	Armenia	0.0	0.03374691300113322	0.5736975210192647	4.792061646160917	8.335487511279906	12.25012941941136	6.648141861223245	9.482882553318435	14.477425677486153	20.1131601486754	30.439715527022166	37.39157960525561	68.13501734928798	88.58564662797471	115.98813998489489	122.83876332412493	124.99856575619745	141.77078151776067	134.6839297875227	117.8442201999572	103.603022913479	85.51467754487159	62.26305448709079	45.35585107352305	44.20845603148452	37.830289474270344	34.08438213114455	34.52309200015929	34.62433273916268	49.91168432867603	64.72657913617351	96.27994279223309	128.60948544731872	245.13757604023172	422.6125915131913	482.24338678619375	487.1704360843592	391.66667229115217	303.18226640218086	295.4542233249214	248.5460142533462	214.39413829619934	197.7906570996418	140.92710869273233	82.64618993977525	67.3588383502619	82.37621463576619	56.49233236389701	33.47693769712416	34.96180186917402	36.61540060622954	40.90125855737347	52.611437368766694	83.15239363479226	122.90625715012719	176.4288611699245	216.41895307626734
ATG	97928	Caribbean	Antigua and Barbuda	0.0	0.0	1.0211584020913325	0.0	6.126950412547995	8.16926721673066	6.126950412547995	2.042316804182665	1.0211584020913325	1.0211584020913325	0.0	0.0	0.0	0.0	1.0211584020913325	0.0	0.0	39.82517768156196	4.08463360836533	6.126950412547995	2.042316804182665	6.126950412547995	9.190425618821992	1.0211584020913325	1.0211584020913325	1.0211584020913325	0.0	1.0211584020913325	0.0	1.0211584020913325	2.042316804182665	9.190425618821992	4.08463360836533	8.16926721673066	5.105792010456662	4.08463360836533	3.0634752062739974	3.0634752062739974	5.105792010456662	2.042316804182665	3.0634752062739974	4.08463360836533	4.08463360836533	3.0634752062739974	4.08463360836533	10.211584020913325	18.380851237643984	8.16926721673066	23.486643248100645	71.48108814639326	141.9410178906952	174.61808675761785	130.70827546769056	88.84078098194593	152.15260191160854	72.5022465484846	90.88309778612859
